Reference, Quantity, Value, Footprint, Datasheet
C2 C3 C4 ,3,"10uF","Capacitor_SMD:C_0402_1005Metric","~"
C5 ,1,"0.1uF","Capacitor_SMD:C_0402_1005Metric","~"
C1 C6 ,2,"1uF","Capacitor_SMD:C_0402_1005Metric","~"
D1 ,1,"LED","LED_SMD:LED_0603_1608Metric","~"
F1 ,1,"1A hold","Fuse:Fuse_1206_3216Metric","~"
H1 H2 ,2,"MountingHole","MountingHole:MountingHole_2.7mm_M2.5","~"
H3 ,1,"MountingHole","MountingHole:MountingHole_2.2mm_M2","~"
J1 ,1,"TYPE-C-31-M-17","footprints:TYPE-C-31-M-17",""
J2 ,1,"SCD41 CO2 / SGP40 VOC","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~"
J3 ,1,"SPS30 PM","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~"
J4 ,1,"TTL Serial","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~"
JP1 ,1,"RST","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
JP2 ,1,"BL","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
R1 R2 ,2,"5.1k","Resistor_SMD:R_0402_1005Metric","~"
R3 ,1,"1","Resistor_SMD:R_0402_1005Metric","~"
R4 ,1,"270-330","Resistor_SMD:R_1206_3216Metric","~"
R5 ,1,"1k","Resistor_SMD:R_0402_1005Metric","~"
U1 ,1,"AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
U2 ,1,"ESP-12S","footprints:ESP-12S",""
